,YEAR,MONTH,DAY,TIME_PST,TIME_FLAG,SURF_TEMP_C,SURF_FLAG,BOT_TEMP_C,BOT_FLAG
0,1916,8,22,NaN,NaN,19.5,0,NaN,NaN
1,1916,8,23,NaN,NaN,19.9,0,NaN,NaN
2,1916,8,24,NaN,NaN,19.7,0,NaN,NaN
3,1916,8,25,NaN,NaN,19.7,0,NaN,NaN
4,1916,8,26,NaN,NaN,19.5,0,NaN,NaN
5,1916,8,27,NaN,NaN,NaN,0,NaN,NaN
6,1916,8,28,NaN,NaN,20.1,0,NaN,NaN
7,1916,8,29,NaN,NaN,19.9,0,NaN,NaN
8,1916,8,30,NaN,NaN,19,0,NaN,NaN
9,1916,8,31,NaN,NaN,16.5,0,NaN,NaN
10,1916,9,1,NaN,NaN,17.9,0,NaN,NaN
11,1916,9,2,NaN,NaN,18.5,0,NaN,NaN
12,1916,9,3,NaN,NaN,NaN,0,NaN,NaN
13,1916,9,4,NaN,NaN,17.9,0,NaN,NaN
14,1916,9,5,NaN,NaN,18.1,0,NaN,NaN
15,1916,9,6,NaN,NaN,18.3,0,NaN,NaN
16,1916,9,7,NaN,NaN,18.8,0,NaN,NaN
17,1916,9,8,NaN,NaN,19.5,0,NaN,NaN
18,1916,9,9,NaN,NaN,19.3,0,NaN,NaN
19,1916,9,10,NaN,NaN,NaN,0,NaN,NaN
20,1916,9,11,NaN,NaN,18.4,0,NaN,NaN
21,1916,9,12,NaN,NaN,17.9,0,NaN,NaN
22,1916,9,13,NaN,NaN,16.3,0,NaN,NaN
23,1916,9,14,NaN,NaN,15.5,0,NaN,NaN
24,1916,9,15,NaN,NaN,17.3,0,NaN,NaN
25,1916,9,16,NaN,NaN,18.3,0,NaN,NaN
26,1916,9,17,NaN,NaN,NaN,0,NaN,NaN
27,1916,9,18,NaN,NaN,18.3,0,NaN,NaN
28,1916,9,19,NaN,NaN,18.5,0,NaN,NaN
29,1916,9,20,NaN,NaN,18.5,0,NaN,NaN
30,1916,9,21,NaN,NaN,18.7,0,NaN,NaN
31,1916,9,22,NaN,NaN,18.3,0,NaN,NaN
32,1916,9,23,NaN,NaN,18.5,0,NaN,NaN
33,1916,9,24,NaN,NaN,NaN,0,NaN,NaN
34,1916,9,25,NaN,NaN,18.7,0,NaN,NaN
35,1916,9,26,NaN,NaN,17.9,0,NaN,NaN
36,1916,9,27,NaN,NaN,18.1,0,NaN,NaN
37,1916,9,28,NaN,NaN,18.1,0,NaN,NaN
38,1916,9,29,NaN,NaN,17.9,0,NaN,NaN
39,1916,9,30,NaN,NaN,17.9,0,NaN,NaN
40,1916,10,1,NaN,NaN,NaN,0,NaN,NaN
41,1916,10,2,NaN,NaN,NaN,0,NaN,NaN
42,1916,10,3,NaN,NaN,17.3,0,NaN,NaN
43,1916,10,4,NaN,NaN,17.3,0,NaN,NaN
44,1916,10,5,NaN,NaN,15.5,0,NaN,NaN
45,1916,10,6,NaN,NaN,16.3,0,NaN,NaN
46,1916,10,7,NaN,NaN,15.9,0,NaN,NaN
47,1916,10,8,NaN,NaN,NaN,0,NaN,NaN
48,1916,10,9,NaN,NaN,16.5,0,NaN,NaN
49,1916,10,10,NaN,NaN,16.3,0,NaN,NaN
50,1916,10,11,NaN,NaN,16.7,0,NaN,NaN
51,1916,10,12,NaN,NaN,16.3,0,NaN,NaN
52,1916,10,13,NaN,NaN,17.2,0,NaN,NaN
53,1916,10,14,NaN,NaN,16.9,0,NaN,NaN
54,1916,10,15,NaN,NaN,NaN,0,NaN,NaN
55,1916,10,16,NaN,NaN,16.3,0,NaN,NaN
56,1916,10,17,NaN,NaN,16.1,0,NaN,NaN
57,1916,10,18,NaN,NaN,16.4,0,NaN,NaN
58,1916,10,19,NaN,NaN,15.3,0,NaN,NaN
59,1916,10,20,NaN,NaN,14.9,0,NaN,NaN
60,1916,10,21,NaN,NaN,14.5,0,NaN,NaN
61,1916,10,22,NaN,NaN,NaN,0,NaN,NaN
62,1916,10,23,NaN,NaN,14.5,0,NaN,NaN
63,1916,10,24,NaN,NaN,14.5,0,NaN,NaN
64,1916,10,25,NaN,NaN,15.5,0,NaN,NaN
65,1916,10,26,NaN,NaN,14.7,0,NaN,NaN
66,1916,10,27,NaN,NaN,13.9,0,NaN,NaN
67,1916,10,28,NaN,NaN,14.6,0,NaN,NaN
68,1916,10,29,NaN,NaN,14.5,0,NaN,NaN
69,1916,10,30,NaN,NaN,NaN,0,NaN,NaN
70,1916,10,31,NaN,NaN,14.1,0,NaN,NaN
71,1916,11,1,NaN,NaN,14.7,0,NaN,NaN
72,1916,11,2,NaN,NaN,15.3,0,NaN,NaN
73,1916,11,3,NaN,NaN,15.3,0,NaN,NaN
74,1916,11,4,NaN,NaN,15.4,0,NaN,NaN
75,1916,11,5,NaN,NaN,NaN,0,NaN,NaN
76,1916,11,6,NaN,NaN,14.5,0,NaN,NaN
77,1916,11,7,NaN,NaN,14.3,0,NaN,NaN
78,1916,11,8,NaN,NaN,14.8,0,NaN,NaN
79,1916,11,9,NaN,NaN,14.8,0,NaN,NaN
80,1916,11,10,NaN,NaN,14.6,0,NaN,NaN
81,1916,11,11,NaN,NaN,14.3,0,NaN,NaN
82,1916,11,12,NaN,NaN,NaN,0,NaN,NaN
83,1916,11,13,NaN,NaN,14.1,0,NaN,NaN
84,1916,11,14,NaN,NaN,12.9,0,NaN,NaN
85,1916,11,15,NaN,NaN,13.7,0,NaN,NaN
86,1916,11,16,NaN,NaN,13.9,0,NaN,NaN
87,1916,11,17,NaN,NaN,13.7,0,NaN,NaN
88,1916,11,18,NaN,NaN,13.2,0,NaN,NaN
89,1916,11,19,NaN,NaN,NaN,0,NaN,NaN
90,1916,11,20,NaN,NaN,13.9,0,NaN,NaN
91,1916,11,21,NaN,NaN,14.5,0,NaN,NaN
92,1916,11,22,NaN,NaN,14.1,0,NaN,NaN
93,1916,11,23,NaN,NaN,14,0,NaN,NaN
94,1916,11,24,NaN,NaN,14.1,0,NaN,NaN
95,1916,11,25,NaN,NaN,14,0,NaN,NaN
96,1916,11,26,NaN,NaN,NaN,0,NaN,NaN
97,1916,11,27,NaN,NaN,13.9,0,NaN,NaN
98,1916,11,28,NaN,NaN,13.5,0,NaN,NaN
99,1916,11,29,NaN,NaN,13.7,0,NaN,NaN
100,1916,11,30,NaN,NaN,NaN,0,NaN,NaN
101,1916,12,1,NaN,NaN,14.5,0,NaN,NaN
102,1916,12,2,NaN,NaN,14.5,0,NaN,NaN
103,1916,12,3,NaN,NaN,NaN,0,NaN,NaN
104,1916,12,4,NaN,NaN,14.9,0,NaN,NaN
105,1916,12,5,NaN,NaN,14.9,0,NaN,NaN
106,1916,12,6,NaN,NaN,14.7,0,NaN,NaN
107,1916,12,7,NaN,NaN,14.2,0,NaN,NaN
108,1916,12,8,NaN,NaN,13.5,0,NaN,NaN
109,1916,12,9,NaN,NaN,13.4,0,NaN,NaN
110,1916,12,10,NaN,NaN,NaN,0,NaN,NaN
