,YEAR,MONTH,DAY,TIME_PST,FLAG_DAY_TIME,SURF_TEMP_C,FLAG_TEMP
0,1973,1,2,NaN,NaN,10.0,NaN
1,1973,1,3,NaN,NaN,11.0,NaN
2,1973,1,4,NaN,NaN,9.0,NaN
3,1973,1,5,NaN,NaN,10.0,NaN
4,1973,1,6,NaN,NaN,NaN,NaN
5,1973,1,7,NaN,NaN,NaN,NaN
6,1973,1,8,NaN,NaN,8.0,NaN
7,1973,1,9,NaN,NaN,9.0,NaN
8,1973,1,10,NaN,NaN,10.0,NaN
9,1973,1,11,NaN,NaN,10.0,NaN
10,1973,1,12,NaN,NaN,12.0,NaN
11,1973,1,13,NaN,NaN,NaN,NaN
12,1973,1,14,NaN,NaN,NaN,NaN
13,1973,1,15,NaN,NaN,11.0,NaN
14,1973,1,16,NaN,NaN,12.0,NaN
15,1973,1,17,NaN,NaN,10.0,NaN
16,1973,1,18,NaN,NaN,10.0,NaN
17,1973,1,19,NaN,NaN,10.0,NaN
18,1973,1,20,NaN,NaN,NaN,NaN
19,1973,1,21,NaN,NaN,NaN,NaN
20,1973,1,22,NaN,NaN,10.0,NaN
21,1973,1,23,NaN,NaN,11.0,NaN
22,1973,1,24,NaN,NaN,11.0,NaN
23,1973,1,25,NaN,NaN,NaN,NaN
24,1973,1,26,NaN,NaN,NaN,NaN
25,1973,1,27,NaN,NaN,NaN,NaN
26,1973,1,28,NaN,NaN,NaN,NaN
27,1973,1,29,NaN,NaN,10.9,NaN
28,1973,1,30,NaN,NaN,10.8,NaN
29,1973,1,31,NaN,NaN,10.5,NaN
30,1973,2,1,NaN,NaN,10.4,NaN
31,1973,2,2,NaN,NaN,10.9,NaN
32,1973,2,3,NaN,NaN,NaN,NaN
33,1973,2,4,NaN,NaN,NaN,NaN
34,1973,2,5,NaN,NaN,10.8,NaN
35,1973,2,6,NaN,NaN,10.7,NaN
36,1973,2,7,NaN,NaN,10.9,NaN
37,1973,2,8,NaN,NaN,11.0,NaN
38,1973,2,9,NaN,NaN,11.9,NaN
39,1973,2,10,NaN,NaN,NaN,NaN
40,1973,2,11,NaN,NaN,NaN,NaN
41,1973,2,12,NaN,NaN,11.0,NaN
42,1973,2,13,NaN,NaN,11.2,NaN
43,1973,2,14,NaN,NaN,11.0,NaN
44,1973,2,15,NaN,NaN,11.3,NaN
45,1973,2,16,NaN,NaN,10.9,NaN
46,1973,2,17,NaN,NaN,NaN,NaN
47,1973,2,18,NaN,NaN,NaN,NaN
48,1973,2,19,NaN,NaN,10.0,NaN
49,1973,2,20,NaN,NaN,NaN,NaN
50,1973,2,21,NaN,NaN,10.2,NaN
51,1973,2,22,NaN,NaN,10.5,NaN
52,1973,2,23,NaN,NaN,11.5,NaN
53,1973,2,24,NaN,NaN,NaN,NaN
54,1973,2,25,NaN,NaN,NaN,NaN
55,1973,2,26,NaN,NaN,11.0,NaN
56,1973,2,27,NaN,NaN,11.3,NaN
57,1973,2,28,NaN,NaN,11.3,NaN
58,1973,3,1,NaN,NaN,11.3,NaN
59,1973,3,2,NaN,NaN,11.5,NaN
60,1973,3,3,NaN,NaN,NaN,NaN
61,1973,3,4,NaN,NaN,NaN,NaN
62,1973,3,5,NaN,NaN,11.2,NaN
63,1973,3,6,NaN,NaN,11.2,NaN
64,1973,3,7,NaN,NaN,11.3,NaN
65,1973,3,8,NaN,NaN,11.0,NaN
66,1973,3,9,NaN,NaN,NaN,NaN
67,1973,3,10,NaN,NaN,NaN,NaN
68,1973,3,11,NaN,NaN,NaN,NaN
69,1973,3,12,NaN,NaN,NaN,NaN
70,1973,3,13,NaN,NaN,NaN,NaN
71,1973,3,14,NaN,NaN,11.0,NaN
72,1973,3,15,NaN,NaN,11.0,NaN
73,1973,3,16,NaN,NaN,10.5,NaN
74,1973,3,17,NaN,NaN,NaN,NaN
75,1973,3,18,NaN,NaN,NaN,NaN
76,1973,3,19,NaN,NaN,NaN,NaN
77,1973,3,20,NaN,NaN,NaN,NaN
78,1973,3,21,NaN,NaN,NaN,NaN
79,1973,3,22,NaN,NaN,10.0,NaN
80,1973,3,23,NaN,NaN,10.2,NaN
81,1973,3,24,NaN,NaN,NaN,NaN
82,1973,3,25,NaN,NaN,NaN,NaN
83,1973,3,26,NaN,NaN,10.4,NaN
84,1973,3,27,NaN,NaN,9.9,NaN
85,1973,3,28,NaN,NaN,NaN,NaN
86,1973,3,29,NaN,NaN,10.0,NaN
87,1973,3,30,NaN,NaN,9.5,NaN
88,1973,3,31,NaN,NaN,NaN,NaN
89,1973,4,1,NaN,NaN,NaN,NaN
90,1973,4,2,NaN,NaN,9.2,NaN
91,1973,4,3,NaN,NaN,9.8,NaN
92,1973,4,4,NaN,NaN,10.2,NaN
93,1973,4,5,NaN,NaN,11.0,NaN
94,1973,4,6,NaN,NaN,9.0,NaN
95,1973,4,7,NaN,NaN,NaN,NaN
96,1973,4,8,NaN,NaN,NaN,NaN
97,1973,4,9,NaN,NaN,10.2,NaN
98,1973,4,10,NaN,NaN,11.4,NaN
99,1973,4,11,NaN,NaN,11.1,NaN
100,1973,4,12,NaN,NaN,11.4,NaN
101,1973,4,13,NaN,NaN,10.2,NaN
102,1973,4,14,NaN,NaN,NaN,NaN
103,1973,4,15,NaN,NaN,NaN,NaN
104,1973,4,16,NaN,NaN,10.6,NaN
105,1973,4,17,NaN,NaN,11.2,NaN
106,1973,4,18,NaN,NaN,10.2,NaN
107,1973,4,19,NaN,NaN,11.2,NaN
108,1973,4,20,NaN,NaN,11.2,NaN
109,1973,4,21,NaN,NaN,NaN,NaN
110,1973,4,22,NaN,NaN,NaN,NaN
111,1973,4,23,NaN,NaN,9.1,NaN
112,1973,4,24,NaN,NaN,8.0,NaN
113,1973,4,25,NaN,NaN,8.1,NaN
114,1973,4,26,NaN,NaN,8.2,NaN
115,1973,4,27,NaN,NaN,NaN,NaN
116,1973,4,28,NaN,NaN,NaN,NaN
117,1973,4,29,NaN,NaN,7.3,NaN
118,1973,4,30,NaN,NaN,NaN,NaN
119,1973,5,1,NaN,NaN,7.2,NaN
120,1973,5,2,NaN,NaN,7.6,NaN
121,1973,5,3,NaN,NaN,8.4,NaN
122,1973,5,4,NaN,NaN,9.3,NaN
123,1973,5,5,NaN,NaN,NaN,NaN
124,1973,5,6,NaN,NaN,NaN,NaN
125,1973,5,7,NaN,NaN,9.7,NaN
126,1973,5,8,NaN,NaN,7.7,NaN
127,1973,5,9,NaN,NaN,8.2,NaN
128,1973,5,10,NaN,NaN,9.7,NaN
129,1973,5,11,NaN,NaN,8.4,NaN
130,1973,5,12,NaN,NaN,NaN,NaN
131,1973,5,13,NaN,NaN,NaN,NaN
132,1973,5,14,NaN,NaN,8.7,NaN
133,1973,5,15,NaN,NaN,9.9,NaN
134,1973,5,16,NaN,NaN,9.8,NaN
135,1973,5,17,NaN,NaN,11.2,NaN
136,1973,5,18,NaN,NaN,9.4,NaN
137,1973,5,19,NaN,NaN,NaN,NaN
138,1973,5,20,NaN,NaN,NaN,NaN
139,1973,5,21,NaN,NaN,8.7,NaN
140,1973,5,22,NaN,NaN,8.9,NaN
141,1973,5,23,NaN,NaN,9.2,NaN
142,1973,5,24,NaN,NaN,8.7,NaN
143,1973,5,25,NaN,NaN,10.1,NaN
144,1973,5,26,NaN,NaN,NaN,NaN
145,1973,5,27,NaN,NaN,NaN,NaN
146,1973,5,28,NaN,NaN,10.0,NaN
147,1973,5,29,NaN,NaN,10.0,NaN
148,1973,5,30,NaN,NaN,9.2,NaN
149,1973,5,31,NaN,NaN,9.1,NaN
150,1973,6,1,NaN,NaN,9.3,NaN
151,1973,6,2,NaN,NaN,NaN,NaN
152,1973,6,3,NaN,NaN,NaN,NaN
153,1973,6,4,NaN,NaN,NaN,NaN
154,1973,6,5,NaN,NaN,NaN,NaN
155,1973,6,6,NaN,NaN,9.4,NaN
156,1973,6,7,NaN,NaN,10.4,NaN
157,1973,6,8,NaN,NaN,10.5,NaN
158,1973,6,9,NaN,NaN,NaN,NaN
159,1973,6,10,NaN,NaN,NaN,NaN
160,1973,6,11,NaN,NaN,10.3,NaN
161,1973,6,12,NaN,NaN,11.0,NaN
162,1973,6,13,NaN,NaN,NaN,NaN
163,1973,6,14,NaN,NaN,10.2,NaN
164,1973,6,15,NaN,NaN,NaN,NaN
165,1973,6,16,NaN,NaN,NaN,NaN
166,1973,6,17,NaN,NaN,NaN,NaN
167,1973,6,18,NaN,NaN,13.0,NaN
168,1973,6,19,NaN,NaN,13.1,NaN
169,1973,6,20,NaN,NaN,11.8,NaN
170,1973,6,21,NaN,NaN,NaN,NaN
171,1973,6,22,NaN,NaN,10.3,NaN
172,1973,6,23,NaN,NaN,NaN,NaN
173,1973,6,24,NaN,NaN,NaN,NaN
174,1973,6,25,NaN,NaN,13.0,NaN
175,1973,6,26,NaN,NaN,NaN,NaN
176,1973,6,27,NaN,NaN,11.7,NaN
177,1973,6,28,NaN,NaN,NaN,NaN
178,1973,6,29,NaN,NaN,11.4,NaN
179,1973,6,30,NaN,NaN,NaN,NaN
180,1973,7,1,NaN,NaN,NaN,NaN
181,1973,7,2,NaN,NaN,10.5,NaN
182,1973,7,3,NaN,NaN,10.5,NaN
183,1973,7,4,NaN,NaN,9.8,NaN
184,1973,7,5,NaN,NaN,NaN,NaN
185,1973,7,6,NaN,NaN,13.5,NaN
186,1973,7,7,NaN,NaN,NaN,NaN
187,1973,7,8,NaN,NaN,NaN,NaN
188,1973,7,9,NaN,NaN,10.4,NaN
189,1973,7,10,NaN,NaN,9.5,NaN
190,1973,7,11,NaN,NaN,9.3,NaN
191,1973,7,12,NaN,NaN,9.2,NaN
192,1973,7,13,NaN,NaN,9.3,NaN
193,1973,7,14,NaN,NaN,NaN,NaN
194,1973,7,15,NaN,NaN,NaN,NaN
195,1973,7,16,NaN,NaN,11.5,NaN
196,1973,7,17,NaN,NaN,12.0,NaN
197,1973,7,18,NaN,NaN,NaN,NaN
198,1973,7,19,NaN,NaN,NaN,NaN
199,1973,7,20,NaN,NaN,12.1,NaN
200,1973,7,21,NaN,NaN,NaN,NaN
201,1973,7,22,NaN,NaN,NaN,NaN
202,1973,7,23,NaN,NaN,11.2,NaN
203,1973,7,24,NaN,NaN,10.0,NaN
204,1973,7,25,NaN,NaN,10.8,NaN
205,1973,7,26,NaN,NaN,10.7,NaN
206,1973,7,27,NaN,NaN,11.0,NaN
207,1973,7,28,NaN,NaN,NaN,NaN
208,1973,7,29,NaN,NaN,NaN,NaN
209,1973,7,30,NaN,NaN,13.0,NaN
210,1973,7,31,NaN,NaN,12.5,NaN
211,1973,8,1,NaN,NaN,NaN,NaN
212,1973,8,2,NaN,NaN,11.7,NaN
213,1973,8,3,NaN,NaN,11.8,NaN
214,1973,8,4,NaN,NaN,NaN,NaN
215,1973,8,5,NaN,NaN,NaN,NaN
216,1973,8,6,NaN,NaN,NaN,NaN
217,1973,8,7,NaN,NaN,11.8,NaN
218,1973,8,8,NaN,NaN,10.7,NaN
219,1973,8,9,NaN,NaN,10.6,NaN
220,1973,8,10,NaN,NaN,11.5,NaN
221,1973,8,11,NaN,NaN,NaN,NaN
222,1973,8,12,NaN,NaN,NaN,NaN
223,1973,8,13,NaN,NaN,11.5,NaN
224,1973,8,14,NaN,NaN,11.5,NaN
225,1973,8,15,NaN,NaN,NaN,NaN
226,1973,8,16,NaN,NaN,11.5,NaN
227,1973,8,17,NaN,NaN,10.8,NaN
228,1973,8,18,NaN,NaN,NaN,NaN
229,1973,8,19,NaN,NaN,NaN,NaN
230,1973,8,20,NaN,NaN,11.0,NaN
231,1973,8,21,NaN,NaN,10.4,NaN
232,1973,8,22,NaN,NaN,10.9,NaN
233,1973,8,23,NaN,NaN,11.5,NaN
234,1973,8,24,NaN,NaN,12.3,NaN
235,1973,8,25,NaN,NaN,NaN,NaN
236,1973,8,26,NaN,NaN,NaN,NaN
237,1973,8,27,NaN,NaN,NaN,NaN
238,1973,8,28,NaN,NaN,NaN,NaN
239,1973,8,29,NaN,NaN,NaN,NaN
240,1973,8,30,NaN,NaN,NaN,NaN
241,1973,8,31,NaN,NaN,NaN,NaN
242,1973,9,1,NaN,NaN,NaN,NaN
243,1973,9,2,NaN,NaN,NaN,NaN
244,1973,9,3,NaN,NaN,NaN,NaN
245,1973,9,4,NaN,NaN,11.4,NaN
246,1973,9,5,NaN,NaN,12.3,NaN
247,1973,9,6,NaN,NaN,11.6,NaN
248,1973,9,7,NaN,NaN,12.6,NaN
249,1973,9,8,NaN,NaN,NaN,NaN
250,1973,9,9,NaN,NaN,NaN,NaN
251,1973,9,10,NaN,NaN,10.9,NaN
252,1973,9,11,NaN,NaN,10.6,NaN
253,1973,9,12,NaN,NaN,11.0,NaN
254,1973,9,13,NaN,NaN,10.4,NaN
255,1973,9,14,NaN,NaN,11.0,NaN
256,1973,9,15,NaN,NaN,NaN,NaN
257,1973,9,16,NaN,NaN,NaN,NaN
258,1973,9,17,NaN,NaN,12.5,NaN
259,1973,9,18,NaN,NaN,13.0,NaN
260,1973,9,19,NaN,NaN,13.0,NaN
261,1973,9,20,NaN,NaN,12.5,NaN
262,1973,9,21,NaN,NaN,13.3,NaN
263,1973,9,22,NaN,NaN,NaN,NaN
264,1973,9,23,NaN,NaN,NaN,NaN
265,1973,9,24,NaN,NaN,13.4,NaN
266,1973,9,25,NaN,NaN,12.8,NaN
267,1973,9,26,NaN,NaN,NaN,NaN
268,1973,9,27,NaN,NaN,12.7,NaN
269,1973,9,28,NaN,NaN,13.1,NaN
270,1973,9,29,NaN,NaN,NaN,NaN
271,1973,9,30,NaN,NaN,NaN,NaN
272,1973,10,1,NaN,NaN,11.1,NaN
273,1973,10,2,NaN,NaN,10.6,NaN
274,1973,10,3,NaN,NaN,12.0,NaN
275,1973,10,4,NaN,NaN,11.0,NaN
276,1973,10,5,NaN,NaN,11.4,NaN
277,1973,10,6,NaN,NaN,11.0,NaN
278,1973,10,7,NaN,NaN,11.5,NaN
279,1973,10,8,NaN,NaN,NaN,NaN
280,1973,10,9,NaN,NaN,NaN,NaN
281,1973,10,10,NaN,NaN,NaN,NaN
282,1973,10,11,NaN,NaN,9.9,NaN
283,1973,10,12,NaN,NaN,11.0,NaN
284,1973,10,13,NaN,NaN,10.8,NaN
285,1973,10,14,NaN,NaN,10.3,NaN
286,1973,10,15,NaN,NaN,NaN,NaN
287,1973,10,16,NaN,NaN,NaN,NaN
288,1973,10,17,NaN,NaN,NaN,NaN
289,1973,10,18,NaN,NaN,10.8,NaN
290,1973,10,19,NaN,NaN,11.3,NaN
291,1973,10,20,NaN,NaN,11.5,NaN
