,YEAR,MONTH,DAY,TIME_PST,FLAG_DAY_TIME,SURF_TEMP_C,FLAG_TEMP
0,1975,1,1,NaN,NaN,7.9,NaN
1,1975,1,2,NaN,NaN,NaN,NaN
2,1975,1,3,NaN,NaN,8.0,NaN
3,1975,1,4,NaN,NaN,8.4,NaN
4,1975,1,5,NaN,NaN,8.3,NaN
5,1975,1,6,NaN,NaN,7.9,NaN
6,1975,1,7,NaN,NaN,7.7,NaN
7,1975,1,8,NaN,NaN,7.7,NaN
8,1975,1,9,NaN,NaN,7.2,NaN
9,1975,1,10,NaN,NaN,7.8,NaN
10,1975,1,11,NaN,NaN,7.8,NaN
11,1975,1,12,NaN,NaN,NaN,NaN
12,1975,1,13,NaN,NaN,8.1,NaN
13,1975,1,14,NaN,NaN,7.7,NaN
14,1975,1,15,NaN,NaN,NaN,NaN
15,1975,1,16,NaN,NaN,7.9,NaN
16,1975,1,17,NaN,NaN,8.0,NaN
17,1975,1,18,NaN,NaN,7.8,NaN
18,1975,1,19,NaN,NaN,7.8,NaN
19,1975,1,20,NaN,NaN,7.7,NaN
20,1975,1,21,NaN,NaN,8.1,NaN
21,1975,1,22,NaN,NaN,8.2,NaN
22,1975,1,23,NaN,NaN,NaN,NaN
23,1975,1,24,NaN,NaN,7.9,NaN
24,1975,1,25,NaN,NaN,7.8,NaN
25,1975,1,26,NaN,NaN,6.8,NaN
26,1975,1,27,NaN,NaN,7.1,NaN
27,1975,1,28,NaN,NaN,6.6,NaN
28,1975,1,29,NaN,NaN,6.8,NaN
29,1975,1,30,NaN,NaN,7.2,NaN
30,1975,1,31,NaN,NaN,6.5,NaN
31,1975,2,1,NaN,NaN,NaN,NaN
32,1975,2,2,NaN,NaN,5.9,NaN
33,1975,2,3,NaN,NaN,6.3,NaN
34,1975,2,4,NaN,NaN,6.8,NaN
35,1975,2,5,NaN,NaN,6.9,NaN
36,1975,2,6,NaN,NaN,7.5,NaN
37,1975,2,7,NaN,NaN,7.7,NaN
38,1975,2,8,NaN,NaN,7.8,NaN
39,1975,2,9,NaN,NaN,7.2,NaN
40,1975,2,10,NaN,NaN,7.7,NaN
41,1975,2,11,NaN,NaN,7.5,NaN
42,1975,2,12,NaN,NaN,7.9,NaN
43,1975,2,13,NaN,NaN,8.0,NaN
44,1975,2,14,NaN,NaN,8.1,NaN
45,1975,2,15,NaN,NaN,7.4,NaN
46,1975,2,16,NaN,NaN,7.4,NaN
47,1975,2,17,NaN,NaN,8.3,NaN
48,1975,2,18,NaN,NaN,8.0,NaN
49,1975,2,19,NaN,NaN,7.8,NaN
50,1975,2,20,NaN,NaN,8.0,NaN
51,1975,2,21,NaN,NaN,8.0,NaN
52,1975,2,22,NaN,NaN,NaN,NaN
53,1975,2,23,NaN,NaN,NaN,NaN
54,1975,2,24,NaN,NaN,7.5,NaN
55,1975,2,25,NaN,NaN,7.6,NaN
56,1975,2,26,NaN,NaN,7.5,NaN
57,1975,2,27,NaN,NaN,7.6,NaN
58,1975,2,28,NaN,NaN,8.0,NaN
59,1975,3,1,NaN,NaN,NaN,NaN
60,1975,3,2,NaN,NaN,NaN,NaN
61,1975,3,3,NaN,NaN,10.8,NaN
62,1975,3,4,NaN,NaN,10.5,NaN
63,1975,3,5,NaN,NaN,10.0,NaN
64,1975,3,6,NaN,NaN,10.8,NaN
65,1975,3,7,NaN,NaN,10.8,NaN
66,1975,3,8,NaN,NaN,NaN,NaN
67,1975,3,9,NaN,NaN,NaN,NaN
68,1975,3,10,NaN,NaN,10.4,NaN
69,1975,3,11,NaN,NaN,9.9,NaN
70,1975,3,12,NaN,NaN,9.7,NaN
71,1975,3,13,NaN,NaN,9.2,NaN
72,1975,3,14,NaN,NaN,9.1,NaN
73,1975,3,15,NaN,NaN,NaN,NaN
74,1975,3,16,NaN,NaN,8.3,NaN
75,1975,3,17,NaN,NaN,8.8,NaN
76,1975,3,18,NaN,NaN,9.5,NaN
77,1975,3,19,NaN,NaN,9.1,NaN
78,1975,3,20,NaN,NaN,9.2,NaN
79,1975,3,21,NaN,NaN,8.9,NaN
80,1975,3,22,NaN,NaN,NaN,NaN
81,1975,3,23,NaN,NaN,NaN,NaN
82,1975,3,24,NaN,NaN,10.0,NaN
83,1975,3,25,NaN,NaN,8.4,NaN
84,1975,3,26,NaN,NaN,10.0,NaN
85,1975,3,27,NaN,NaN,NaN,NaN
86,1975,3,28,NaN,NaN,9.3,NaN
87,1975,3,29,NaN,NaN,NaN,NaN
88,1975,3,30,NaN,NaN,NaN,NaN
89,1975,3,31,NaN,NaN,NaN,NaN
90,1975,4,1,NaN,NaN,9.0,NaN
91,1975,4,2,NaN,NaN,8.9,NaN
92,1975,4,3,NaN,NaN,8.0,NaN
93,1975,4,4,NaN,NaN,NaN,NaN
94,1975,4,5,NaN,NaN,10.0,NaN
95,1975,4,6,NaN,NaN,10.1,NaN
96,1975,4,7,NaN,NaN,8.3,NaN
97,1975,4,8,NaN,NaN,9.0,NaN
98,1975,4,9,NaN,NaN,9.5,NaN
99,1975,4,10,NaN,NaN,9.1,NaN
100,1975,4,11,NaN,NaN,NaN,NaN
101,1975,4,12,NaN,NaN,NaN,NaN
102,1975,4,13,NaN,NaN,NaN,NaN
103,1975,4,14,NaN,NaN,NaN,NaN
104,1975,4,15,NaN,NaN,9.3,NaN
105,1975,4,16,NaN,NaN,9.5,NaN
106,1975,4,17,NaN,NaN,9.0,NaN
107,1975,4,18,NaN,NaN,11.4,NaN
108,1975,4,19,NaN,NaN,NaN,NaN
109,1975,4,20,NaN,NaN,NaN,NaN
110,1975,4,21,NaN,NaN,9.0,NaN
111,1975,4,22,NaN,NaN,8.9,NaN
112,1975,4,23,NaN,NaN,9.5,NaN
113,1975,4,24,NaN,NaN,NaN,NaN
114,1975,4,25,NaN,NaN,NaN,NaN
115,1975,4,26,NaN,NaN,9.4,NaN
116,1975,4,27,NaN,NaN,9.3,NaN
117,1975,4,28,NaN,NaN,NaN,NaN
118,1975,4,29,NaN,NaN,9.5,NaN
119,1975,4,30,NaN,NaN,10.0,NaN
120,1975,5,1,NaN,NaN,9.2,NaN
121,1975,5,2,NaN,NaN,NaN,NaN
122,1975,5,3,NaN,NaN,10.2,NaN
123,1975,5,4,NaN,NaN,NaN,NaN
124,1975,5,5,NaN,NaN,10.8,NaN
125,1975,5,6,NaN,NaN,10.8,NaN
126,1975,5,7,NaN,NaN,10.5,NaN
127,1975,5,8,NaN,NaN,9.8,NaN
128,1975,5,9,NaN,NaN,NaN,NaN
129,1975,5,10,NaN,NaN,NaN,NaN
130,1975,5,11,NaN,NaN,NaN,NaN
131,1975,5,12,NaN,NaN,12.2,NaN
132,1975,5,13,NaN,NaN,11.4,NaN
133,1975,5,14,NaN,NaN,11.8,NaN
134,1975,5,15,NaN,NaN,NaN,NaN
135,1975,5,16,NaN,NaN,NaN,NaN
136,1975,5,17,NaN,NaN,NaN,NaN
137,1975,5,18,NaN,NaN,NaN,NaN
138,1975,5,19,NaN,NaN,NaN,NaN
139,1975,5,20,NaN,NaN,9.6,NaN
140,1975,5,21,NaN,NaN,NaN,NaN
141,1975,5,22,NaN,NaN,10.1,NaN
142,1975,5,23,NaN,NaN,NaN,NaN
143,1975,5,24,NaN,NaN,NaN,NaN
144,1975,5,25,NaN,NaN,NaN,NaN
145,1975,5,26,NaN,NaN,NaN,NaN
146,1975,5,27,NaN,NaN,9.8,NaN
147,1975,5,28,NaN,NaN,NaN,NaN
148,1975,5,29,NaN,NaN,10.0,NaN
149,1975,5,30,NaN,NaN,12.8,NaN
150,1975,5,31,NaN,NaN,NaN,NaN
151,1975,6,1,NaN,NaN,NaN,NaN
152,1975,6,2,NaN,NaN,NaN,NaN
153,1975,6,3,NaN,NaN,11.9,NaN
154,1975,6,4,NaN,NaN,NaN,NaN
155,1975,6,5,NaN,NaN,9.8,NaN
156,1975,6,6,NaN,NaN,10.4,NaN
157,1975,6,7,NaN,NaN,NaN,NaN
158,1975,6,8,NaN,NaN,NaN,NaN
159,1975,6,9,NaN,NaN,NaN,NaN
160,1975,6,10,NaN,NaN,10.9,NaN
161,1975,6,11,NaN,NaN,NaN,NaN
162,1975,6,12,NaN,NaN,11.5,NaN
163,1975,6,13,NaN,NaN,11.3,NaN
164,1975,6,14,NaN,NaN,NaN,NaN
165,1975,6,15,NaN,NaN,NaN,NaN
166,1975,6,16,NaN,NaN,NaN,NaN
167,1975,6,17,NaN,NaN,10.8,NaN
168,1975,6,18,NaN,NaN,11.0,NaN
169,1975,6,19,NaN,NaN,10.5,NaN
170,1975,6,20,NaN,NaN,10.5,NaN
171,1975,6,21,NaN,NaN,NaN,NaN
