,DATE,SURF_TEMP_C,YEAR,MONTH,DAY
0,12/5/1956,15.2,1956,12,5
1,12/6/1956,14.7,1956,12,6
2,12/7/1956,14.6,1956,12,7
3,12/8/1956,12.8,1956,12,8
4,12/9/1956,12,1956,12,9
5,12/10/1956,13.9,1956,12,10
6,12/11/1956,13.9,1956,12,11
7,12/12/1956,14.1,1956,12,12
8,12/13/1956,14,1956,12,13
9,12/14/1956,14.9,1956,12,14
10,12/15/1956,14.8,1956,12,15
11,12/16/1956,14.1,1956,12,16
12,12/17/1956,NaN,1956,12,17
13,12/18/1956,NaN,1956,12,18
14,12/19/1956,NaN,1956,12,19
15,12/20/1956,NaN,1956,12,20
16,12/21/1956,NaN,1956,12,21
17,12/22/1956,NaN,1956,12,22
18,12/23/1956,NaN,1956,12,23
19,12/24/1956,14,1956,12,24
20,12/25/1956,14,1956,12,25
21,12/26/1956,14.1,1956,12,26
22,12/27/1956,14.3,1956,12,27
23,12/28/1956,14.5,1956,12,28
24,12/29/1956,14.7,1956,12,29
25,12/30/1956,14.5,1956,12,30
26,12/31/1956,14,1956,12,31
27,1/1/1957,13.9,1957,1,1
28,1/2/1957,13.8,1957,1,2
29,1/3/1957,14,1957,1,3
30,1/4/1957,14.1,1957,1,4
31,1/5/1957,14,1957,1,5
32,1/6/1957,14.3,1957,1,6
33,1/7/1957,14.5,1957,1,7
34,1/8/1957,14.7,1957,1,8
35,1/9/1957,14.3,1957,1,9
36,1/10/1957,14.6,1957,1,10
37,1/11/1957,14.7,1957,1,11
38,1/12/1957,14.5,1957,1,12
39,1/13/1957,14.7,1957,1,13
40,1/14/1957,14.6,1957,1,14
41,1/15/1957,14.2,1957,1,15
42,1/16/1957,14.2,1957,1,16
43,1/17/1957,14.2,1957,1,17
44,1/18/1957,14.2,1957,1,18
45,1/19/1957,13.7,1957,1,19
46,1/20/1957,13.8,1957,1,20
47,1/21/1957,NaN,1957,1,21
48,1/22/1957,NaN,1957,1,22
49,1/23/1957,NaN,1957,1,23
50,1/24/1957,NaN,1957,1,24
51,1/25/1957,NaN,1957,1,25
52,1/26/1957,NaN,1957,1,26
53,1/27/1957,NaN,1957,1,27
54,1/28/1957,12.5,1957,1,28
55,1/29/1957,12.5,1957,1,29
56,1/30/1957,12.7,1957,1,30
57,1/31/1957,12.9,1957,1,31
58,2/1/1957,12.6,1957,2,1
59,2/2/1957,12.4,1957,2,2
60,2/3/1957,14.6,1957,2,3
61,2/4/1957,13.2,1957,2,4
62,2/5/1957,13.1,1957,2,5
63,2/6/1957,12.1,1957,2,6
64,2/7/1957,12.5,1957,2,7
65,2/8/1957,12.9,1957,2,8
66,2/9/1957,13.1,1957,2,9
67,2/10/1957,13.5,1957,2,10
68,2/11/1957,13.7,1957,2,11
69,2/12/1957,13.6,1957,2,12
70,2/13/1957,14,1957,2,13
71,2/14/1957,13.4,1957,2,14
72,2/15/1957,13.8,1957,2,15
73,2/16/1957,14,1957,2,16
74,2/17/1957,14,1957,2,17
75,2/18/1957,13.9,1957,2,18
76,2/19/1957,14.1,1957,2,19
77,2/20/1957,14,1957,2,20
78,2/21/1957,13.6,1957,2,21
79,2/22/1957,13.9,1957,2,22
80,2/23/1957,13.9,1957,2,23
81,2/24/1957,14,1957,2,24
82,2/25/1957,13.9,1957,2,25
83,2/26/1957,13.9,1957,2,26
84,2/27/1957,13.8,1957,2,27
85,2/28/1957,14.1,1957,2,28
